ticker,llm_decision,ff12,ff_label,classification_confidence,classification_issue,ff12_source,semantic_type,reason
ACMIF,include,12,Other,medium,resolved_missing_sic_llm,secondary_llm,mining_common_equity,Allied Critical Metals is a critical-metals/mining issuer; metal mining maps to FF12 Other.
ALEUY,include,9,Shops,medium,resolved_missing_sic_llm,secondary_llm,operating_company_adr,Allegro.eu is an e-commerce marketplace ADR; retail marketplace activity maps to Shops.
AUGCF,include,12,Other,medium,resolved_missing_sic_llm,secondary_llm,mining_common_equity,AU Gold is a gold issuer; gold mining/exploration maps to FF12 Other.
BAWAY,include,11,Money,medium,resolved_missing_sic_llm,secondary_llm,bank_adr,BAWAG Group is a banking ADR; banks map to Money.
BEBE,exclude,,,low,shell_company,excluded_llm,shell_company,Yahoo industry or issuer name indicates a shell/SPAC-style issuer with no operating industry to map.
BKZHY,include,11,Money,medium,resolved_missing_sic_llm,secondary_llm,bank_adr,Santander Bank Polska/Erste Bank Polska is a banking ADR; banks map to Money.
CCEYF,include,4,Enrgy,medium,resolved_missing_sic_llm,secondary_llm,energy_common_equity,CanCambria Energy is an energy issuer; oil/gas energy activity maps to Enrgy.
CEPV,exclude,,,low,shell_company,excluded_llm,shell_company,Yahoo industry or issuer name indicates a shell/SPAC-style issuer with no operating industry to map.
CFSU,exclude,,,low,shell_company,excluded_llm,shell_company,Yahoo industry or issuer name indicates a shell/SPAC-style issuer with no operating industry to map.
CGDCF,include,12,Other,medium,resolved_missing_sic_llm,secondary_llm,mining_common_equity,Carlin Gold is a gold issuer; gold mining/exploration maps to FF12 Other.
CICB,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity."
CICC,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity."
CPPMF,include,12,Other,medium,resolved_missing_sic_llm,secondary_llm,mining_common_equity,Coppernico Metals is a copper/metals issuer; metal mining maps to FF12 Other.
CPRHF,include,8,Utils,medium,resolved_missing_sic_llm,secondary_llm,utility_common_equity,Capital Power is a power-generation utility issuer; electric utilities map to Utils.
CPWPF,include,8,Utils,medium,resolved_missing_sic_llm,secondary_llm,utility_common_equity,Capital Power is a power-generation utility issuer; electric utilities map to Utils.
CUPPF,include,12,Other,medium,resolved_missing_sic_llm,secondary_llm,mining_common_equity,Super Copper is a copper/metals issuer; metal mining maps to FF12 Other.
DNMX,exclude,,,low,shell_company,excluded_llm,shell_company,Yahoo industry or issuer name indicates a shell/SPAC-style issuer with no operating industry to map.
EBCRY,include,6,BusEq,medium,resolved_missing_sic_llm,secondary_llm,operating_company_adr,Embracer Group is an interactive entertainment/software publisher; software/electronic gaming maps to BusEq.
ECCU,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity."
ECCV,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity."
