ticker,ff12,ff_label,ff12_source,classification_confidence,classification_issue,secondary_sector,secondary_industry,secondary_source,secondary_reason
AAMTF,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Capital Markets,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
AAUC,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Gold,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
AAUGF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Gold,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
ABCFF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Industrial Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
ADYYF,6,BusEq,secondary_yfinance,high,resolved_missing_sic,Technology,Software - Infrastructure,yfinance,Yahoo sector indicates business equipment or technology.
AEGXF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Industrials,Engineering & Construction,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
AGMRF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Silver,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
AGXPF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Industrial Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
AIBRF,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Banks - Regional,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
AIKCF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Industrials,Conglomerates,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
AIQUF,5,Chems,secondary_yfinance,high,resolved_missing_sic,Basic Materials,Specialty Chemicals,yfinance,Yahoo industry indicates chemicals.
AIRRF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Gold,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
AITTF,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Asset Management,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
ALEGF,9,Shops,secondary_yfinance,high,resolved_missing_sic,Consumer Cyclical,Internet Retail,yfinance,"Yahoo industry indicates retail, restaurants, or wholesale shops."
ALPIB,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Banks - Regional,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
ALTUF,4,Enrgy,secondary_yfinance,high,resolved_missing_sic,Energy,Oil & Gas E&P,yfinance,Yahoo sector indicates energy.
AMEGF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Gold,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
AMRQF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Gold,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
AMVOY,2,Durbl,secondary_yfinance,high,resolved_missing_sic,Consumer Cyclical,Auto Parts,yfinance,Yahoo industry indicates durable consumer goods.
ANNSF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Industrials,Airports & Air Services,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
ANPCF,10,Hlth,secondary_yfinance,high,resolved_missing_sic,Healthcare,Diagnostics & Research,yfinance,Yahoo sector indicates healthcare.
AOTVF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Gold,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
APAAF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Energy,Uranium,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
APGOF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Silver,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
APMCF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Energy,Thermal Coal,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
ARCC,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Asset Management,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
ARNNY,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Insurance - Diversified,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
ARSMF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Industrial Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
ARZTF,1,NoDur,secondary_yfinance,medium,resolved_missing_sic,Consumer Defensive,Packaged Foods,yfinance,Yahoo sector/industry indicates non-durable consumer goods.
ASBRF,1,NoDur,secondary_yfinance,medium,resolved_missing_sic,Consumer Defensive,Beverages - Brewers,yfinance,Yahoo sector/industry indicates non-durable consumer goods.
ASRRF,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Insurance - Diversified,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
ATALF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Industrial Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
ATCMF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Industrial Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
ATDRF,6,BusEq,secondary_yfinance,medium,resolved_missing_sic,Communication Services,Internet Content & Information,yfinance,"Yahoo industry indicates software, hardware, or online services."
AUIAF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Precious Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
AUXXF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Gold,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
AVVOF,3,Manuf,secondary_yfinance,medium,resolved_missing_sic,Industrials,Aerospace & Defense,yfinance,Yahoo industry indicates manufacturing or industrial materials.
AVVSY,3,Manuf,secondary_yfinance,medium,resolved_missing_sic,Industrials,Aerospace & Defense,yfinance,Yahoo industry indicates manufacturing or industrial materials.
AWLIF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Industrial Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
AWTRF,5,Chems,secondary_yfinance,high,resolved_missing_sic,Basic Materials,Specialty Chemicals,yfinance,Yahoo industry indicates chemicals.
AZASF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Precious Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
AZZTF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Industrial Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
BABYF,1,NoDur,secondary_yfinance,medium,resolved_missing_sic,Consumer Defensive,Packaged Foods,yfinance,Yahoo sector/industry indicates non-durable consumer goods.
BAESF,3,Manuf,secondary_yfinance,medium,resolved_missing_sic,Industrials,Aerospace & Defense,yfinance,Yahoo industry indicates manufacturing or industrial materials.
BAESY,3,Manuf,secondary_yfinance,medium,resolved_missing_sic,Industrials,Aerospace & Defense,yfinance,Yahoo industry indicates manufacturing or industrial materials.
BAFBF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Industrials,Engineering & Construction,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
BANX,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Asset Management,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
