symbol,decision,semantic_type,confidence,reason
AMLX,include,operating_company_common_equity,high,SEC and Yahoo both show Amylyx Pharmaceuticals operating equity; stale ETF label is false positive.
BOXL,include,operating_company_common_equity,high,Boxlight is an operating company; old ETF listing name is stale ticker reuse.
DRVN,include,operating_company_common_equity,high,Driven Brands is clearly common equity despite stale legacy metadata.
ENGN,include,operating_company_common_equity,high,enGene Therapeutics is operating-company equity; old ETF record is reused ticker noise.
ERO,include,operating_company_common_equity,high,Ero Copper is a mining operating company; legacy ETN listing is stale.
EU,include,operating_company_common_equity,high,enCore Energy is operating-company equity; old fund label is unrelated ticker reuse.
EVO,include,operating_company_common_equity,high,Evotec SE is an operating biotech company and listed equity.
FIEE,include,operating_company_common_equity,high,"FiEE, Inc. is current equity; stale UBS listing metadata is irrelevant."
FIG,include,operating_company_common_equity,high,Figma is operating-company equity; historical ETF listing is stale reuse.
FTW,include,operating_company_common_equity,high,"Presidio Production Company is an operating energy issuer, not a fund."
FWDI,include,operating_company_common_equity,high,Forward Industries is common equity; old listing snapshot is stale.
GHI,include,reit_common_equity,high,Greystone Housing Impact Investors is an operating REIT-like equity vehicle eligible here.
GMM,include,operating_company_common_equity,high,Global Mofy AI is operating-company equity; stale ETF metadata should be ignored.
HAO,include,operating_company_common_equity,high,Haoxi Health Technology is common equity; old ETF listing is reused ticker noise.
HHH,include,operating_company_common_equity,high,"Howard Hughes Holdings is operating-company equity, not a packaged vehicle."
IBTA,include,operating_company_common_equity,high,Ibotta is current common equity; old ETF listing is stale reuse.
INR,include,operating_company_common_equity,high,"Infinity Natural Resources is an operating company, not an ETN."
IPW,include,operating_company_common_equity,high,iPower is ordinary operating-company equity.
JEM,include,operating_company_common_equity,high,707 Cayman Holdings is operating-company equity; prior ETN label is stale.
JOYY,include,operating_company_common_equity,high,JOYY is operating-company equity with no fund or note characteristics.
LUXE,include,operating_company_common_equity,high,LuxExperience is a listed operating company; old name does not indicate a fund.
MATH,include,operating_company_common_equity,high,"Metalpha is listed equity; no evidence of fund, note, or shell."
NIQ,include,operating_company_common_equity,high,NIQ Global Intelligence is operating-company equity; stale fund listing is irrelevant.
NPT,include,operating_company_common_equity,high,Texxon Holding is common equity; old municipal fund listing is stale reuse.
NUCL,include,operating_company_common_equity,high,Eagle Nuclear Energy is operating-company equity; old ETF listing is stale.
NVX,include,operating_company_common_equity,high,NOVONIX is ordinary operating-company equity.
NYC,include,reit_common_equity,high,American Strategic Investment is a listed REIT-like operating equity.
OIO,include,operating_company_common_equity,low,Current issuer appears company-like equity; ETF metadata looks stale and conflicting.
PAM,include,operating_company_common_equity,high,Pampa Energía is operating-company equity; stale ETF label is unrelated.
PPLC,include,operating_company_common_equity,high,PPL Corporation is operating utility equity; old ETF listing is stale reuse.
PRME,include,operating_company_common_equity,high,"Prime Medicine is operating biotech equity, not a packaged vehicle."
SKK,include,operating_company_common_equity,high,SKK Holdings is current company equity; prior ETF record is stale.
SST,include,operating_company_common_equity,high,System1 is operating-company equity with current exchange listing.
TAAG,include,operating_company_common_equity,high,The Awareness Group is company equity; old ETF listing is stale.
UK,include,operating_company_common_equity,high,Ucommune is listed company equity; stale class listing is not disqualifying.
WLTH,include,operating_company_common_equity,high,Wealthfront is operating-company equity; old ETF label is stale.
ZBIO,include,operating_company_common_equity,high,Zenas BioPharma is operating-company equity; ETF metadata is stale reuse.
CLWT,include,operating_company_common_equity,high,Euro Tech Holdings is ordinary operating-company equity.
CRWS,include,operating_company_common_equity,high,Crown Crafts is ordinary operating-company equity.
CWT,include,operating_company_common_equity,high,California Water Service is operating utility equity.
DQWS,include,operating_company_common_equity,high,DSwiss is current company equity; no fund or security-claim evidence.
ELWT,include,operating_company_common_equity,high,Elauwit Connection is operating-company equity.
FLWS,include,operating_company_common_equity,high,1-800-FLOWERS.COM is operating-company equity.
NEWT,include,private_credit_or_bdc_vehicle,high,"NewtekOne is a bank-like operating company, not a BDC fund."
NWS,include,operating_company_common_equity,high,News Corporation is ordinary operating-company equity.
RWT,include,reit_common_equity,high,Redwood Trust is a REIT-like operating equity.
WS,include,operating_company_common_equity,high,Worthington Steel is operating-company equity.
WT,include,operating_company_common_equity,high,WisdomTree is an operating company; ticker reuse does not change current equity status.
ZWS,include,operating_company_common_equity,high,Zurn Elkay Water Solutions is operating-company equity.
AFJK,quarantine,ambiguous,medium,"Current issuer looks like equity, but SIC 6770 raises unresolved SPAC/blank-check ambiguity."
AIB,include,operating_company_common_equity,high,"SEC and Yahoo describe an equity operating company, not a fund or financing instrument."
ALDA,quarantine,ambiguous,low,Generic issuer name with stale SPAC-like SIC; current evidence insufficient to confirm common equity.
ALDF,exclude,spac_shell,high,Issuer name indicates acquisition vehicle; SIC 6770 strongly suggests pre-merger SPAC.
AMFN,quarantine,ambiguous,low,Generic 6770 issuer; no clear operating-business evidence or explicit SPAC wording.
ANTA,include,operating_company_common_equity,high,"Operating company-like equity with platform business; not an ETF, note, or shell."
AVNI,quarantine,ambiguous,low,Generic issuer name and 6770 SIC; insufficient evidence to distinguish operating company from shell.
BDCI,exclude,spac_shell,high,Development corp with 6770 SIC fits blank-check or shell structure.
BZRD,quarantine,ambiguous,low,No clear operating-business evidence; SIC 6770 leaves shell risk unresolved.
