ticker,llm_decision,ff12,ff_label,classification_confidence,classification_issue,ff12_source,semantic_type,reason,cik,yf_quote_type,yf_long_name,yf_exchange,yf_sector,yf_industry,yf_market_cap
BEBE,exclude,,,low,shell_company,excluded_llm,shell_company,Yahoo industry or issuer name indicates a shell/SPAC-style issuer with no operating industry to map.,2079933,EQUITY,TGE Value Creative Solutions Corp,NYQ,Financial Services,Shell Companies,198400000.0
CEPV,exclude,,,low,shell_company,excluded_llm,shell_company,Yahoo industry or issuer name indicates a shell/SPAC-style issuer with no operating industry to map.,2034266,EQUITY,"Cantor Equity Partners V, Inc.",NGM,Financial Services,Shell Companies,326801184.0
CFSU,exclude,,,low,shell_company,excluded_llm,shell_company,Yahoo industry or issuer name indicates a shell/SPAC-style issuer with no operating industry to map.,1621888,EQUITY,"Complete Financial Solutions, Inc.",OID,Financial Services,Shell Companies,128024744.0
CICB,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1534254,EQUITY,CION Investment Corporation,NYQ,,,
CICC,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1534254,EQUITY,,NYQ,,,
DNMX,exclude,,,low,shell_company,excluded_llm,shell_company,Yahoo industry or issuer name indicates a shell/SPAC-style issuer with no operating industry to map.,2081125,EQUITY,Dynamix Corporation III,NGM,Financial Services,Shell Companies,268601664.0
ECCU,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1604174,EQUITY,,NYQ,,,
ECCV,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1604174,EQUITY,,NYQ,,,
GAING,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1321741,EQUITY,Gladstone Investment Corporation 7.125% Notes due 2031,NMS,,,
GAINI,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1321741,EQUITY,Gladstone Investment Corporation,NMS,,,
GAINZ,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1321741,EQUITY,Gladstone Investment Corporation 4.875% Notes due 2028,NMS,,,
GARLF,exclude,,,low,shell_company,excluded_llm,shell_company,Yahoo industry or issuer name indicates a shell/SPAC-style issuer with no operating industry to map.,1725569,EQUITY,Roxmore Resources Inc.,OQX,Financial Services,Shell Companies,192229600.0
GECCG,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1675033,EQUITY,Great Elm Capital Corp. 7.75% Notes Due 2030,NGM,,,
GECCH,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1675033,EQUITY,,NGM,,,
GECCI,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1675033,EQUITY,Great Elm Capital Corp. 8.50% NOTES DUE 2029,NGM,,,
GECCO,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1675033,EQUITY,Great Elm Capital Corp. 5.875% Notes due 2026,NGM,,,
GIW,exclude,,,low,shell_company,excluded_llm,shell_company,Yahoo industry or issuer name indicates a shell/SPAC-style issuer with no operating industry to map.,2080019,EQUITY,GigCapital8 Corp.,NGM,Financial Services,Shell Companies,475229216.0
HCXY,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1280784,EQUITY,"Hercules Capital, Inc.",NYQ,,,
HTFC,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1487428,EQUITY,,NYQ,,,
MFICL,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1278752,EQUITY,MidCap Financial Investment Corporation,NMS,,,
NMFCZ,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1496099,EQUITY,New Mountain Finance Corporation 8.250% Notes due 2028,NGM,,,
OFSSH,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1487918,EQUITY,OFS Capital Corporation 4.95% Notes due 2028,NMS,,,
OFSSO,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1487918,EQUITY,OFS Capital Corporation,NGM,,,
OXLCG,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1495222,EQUITY,Oxford Lane Capital Corp. 7.95% Notes due 2032,NMS,,,
OXLCI,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1495222,EQUITY,Oxford Lane Capital Corp.,NMS,,,
OXLCL,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1495222,EQUITY,Oxford Lane Capital Corp. 6.75% Notes due 2031,NMS,,,
OXLCM,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1495222,EQUITY,"Oxford Lane Capital Corp. Preferred Stock Shares, 8.25% Series 2031",NMS,,,
OXLCZ,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1495222,EQUITY,Oxford Lane Capital Corp. 5.00% Notes due 2027,NMS,,,
OXSQG,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1259429,EQUITY,Oxford Square Capital Corp. 5.50% Notes due 2028,NMS,,,
OXSQH,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1259429,EQUITY,Oxford Square Capital Corp.,NMS,,,
PFXNZ,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1490349,EQUITY,PhenixFIN Corporation  5.25% Notes due 2028,NGM,,,
RACC,exclude,,,low,shell_company,excluded_llm,shell_company,Yahoo industry or issuer name indicates a shell/SPAC-style issuer with no operating industry to map.,2118032,EQUITY,Research Alliance Corporation III Class A Ordinary Shares,NGM,Financial Services,Shell Companies,107920408.0
RWAYI,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1653384,EQUITY,Runway Growth Finance Corp.,NMS,,,
RWAYL,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1653384,EQUITY,,NMS,,,
SAJ,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1377936,EQUITY,,NYQ,,,
SAT,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1377936,EQUITY,,NYQ,,,
SAV,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1377936,EQUITY,,NYQ,,,
SAY,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1377936,EQUITY,,NYQ,,,
SAZ,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1377936,EQUITY,,NYQ,,,
SBXE,exclude,,,low,shell_company,excluded_llm,shell_company,Yahoo industry or issuer name indicates a shell/SPAC-style issuer with no operating industry to map.,2081909,EQUITY,SilverBox Corp V,NYQ,Financial Services,Shell Companies,344309984.0
SSSSL,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1509470,EQUITY,SuRo Capital Corp. 6.00% Notes due 2026,NGM,,,
TRINI,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1786108,EQUITY,Trinity Capital Inc. 7.875% Notes Due 2029,NMS,,,
TRINZ,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1786108,EQUITY,Trinity Capital Inc. 7.875% Notes due 2029,NMS,,,
TY.P,exclude,,,low,non_common_security,excluded_llm,fund_or_preferred_security,"Ticker is a fund/preferred-style security rather than operating-company common equity, so no trusted FF12 is assigned.",99614,MUTUALFUND,,YHD,,,
WHFCL,exclude,,,low,non_common_security,excluded_llm,baby_bond_or_note,"Ticker appears to be an exchange-traded note, baby bond, or preferred series rather than operating-company common equity.",1552198,EQUITY,"WhiteHorse Finance, Inc. 7.875% Notes due 2028",NMS,,,
ZHDM,exclude,,,low,shell_company,excluded_llm,shell_company,Yahoo industry or issuer name indicates a shell/SPAC-style issuer with no operating industry to map.,1950209,EQUITY,,OID,Financial Services,Shell Companies,2027625.0
